blockNumber,amount0In,amount1In,amount0Out,amount1Out
18252300,0.0,100000000.0,5.9686010057529256e16,0.0
18252305,0.0,991250000.0,5.916194123440573e17,0.0
18252307,0.0,324025000.0,1.933844872951083e17,0.0
18252313,9.919743661320462e17,0.0,0.0,1652081173.0
18252338,0.0,70998937.0,4.2377044424186e16,0.0
18252344,0.0,99125000.0,5.916432811817749e16,0.0
18252357,0.0,236744383.0,1.4130330318444874e17,0.0
18252358,0.0,298500293.0,1.781602633513607e17,0.0
18252372,1.08e16,0.0,0.0,17986697.0
18252374,0.0,8808105.0,5257087968256169.0,0.0
18252376,0.0,598200000.0,3.570275711445317e17,0.0
18252380,0.0,72329416.0,4.316801644075204e16,0.0
18252380,0.0,22620882.0,1.3500675748745576e16,0.0
18252386,2.912284087383512e18,0.0,0.0,4849745421.0
18252395,0.0,72715027.0,4.340982041766882e16,0.0
18252400,0.0,498500000.0,2.975925136821833e17,0.0
18252406,0.0,46790000.0,2.7932075355539004e16,0.0
18252406,0.0,8040514862.0,4.798828600770804e18,0.0
18252407,0.0,10375857372.0,6.189423111967147e18,0.0
18252409,0.0,315967812.0,1.8842480955279296e17,0.0
18252415,6.7220564114974056e16,0.0,0.0,112046868.0
18252415,0.0,2000000000.0,1.1926134409856591e18,0.0
18252418,0.0,800000000.0,4.7700774838853216e17,0.0
18252422,0.0,309312944.0,1.844250752064661e17,0.0
18252431,0.0,245527121.0,1.463910619549705e17,0.0
18252447,7.485455236021907e16,0.0,0.0,124794349.0
18252449,2.6618774396886524e16,0.0,0.0,44377484.0
18252450,6.083369363685728e16,0.0,0.0,101418463.0
18252451,0.0,1900000.0,1132849709829212.0,0.0
18252452,0.0,50198695.0,2.9930259881015064e16,0.0
18252453,6.546815360570969e16,0.0,0.0,109144442.0
18252458,1.94731e16,0.0,0.0,32464213.0
18252460,0.0,75000000.0,4.471788625755778e16,0.0
18252460,0.0,899243721.0,5.3614902614779814e17,0.0
18252460,3.823993004945785e17,0.0,0.0,637532755.0
18252467,5.667471702610987e16,0.0,0.0,94485635.0
18252469,0.0,320904231.0,1.9133154374584288e17,0.0
18252470,0.0,51000000.0,3.0407222823637856e16,0.0
18252470,0.0,513186362.0,3.059671475280752e17,0.0
18252471,0.0,471413853.0,2.8105414418492208e17,0.0
18252473,1.2e16,0.0,0.0,20007343.0
18252482,1.908964072460439e17,0.0,0.0,318274469.0
18252494,0.0,330151464.0,1.9683366285161414e17,0.0
18252497,0.0,500000000.0,2.980890377422513e17,0.0
18252500,0.0,499182840.0,2.9759349418100154e17,0.0
18252502,0.0,695072498.0,4.143614017346002e17,0.0
18252502,5.997242168302984e16,0.0,0.0,100000000.0
18252509,0.0,21251575.0,1.2668756629669488e16,0.0
18252511,0.0,518759903.0,3.09244994675244e17,0.0
18252512,6.154892835594859e16,0.0,0.0,102631252.0
18252534,5.6706769295969e16,0.0,0.0,94556550.0
18252542,0.0,264006373.0,1.573786990785373e17,0.0
18252542,0.0,74135588.0,4.419306668302672e16,0.0
18252553,1.187854662747015e18,0.0,0.0,1980627833.0
18252557,0.0,101000000.0,6.02136854629857e16,0.0
18252558,0.0,142790000.0,8.512725897721906e16,0.0
18252572,0.0,50180000.0,2.99156988175188e16,0.0
18252577,0.0,25000000.0,1.4904162750928396e16,0.0
18252578,7.641006122428062e16,0.0,0.0,127400764.0
18252584,1.1879880498439862e18,0.0,0.0,1980650021.0
18252598,0.0,75241900.0,4.486191473838252e16,0.0
18252603,0.0,50000000.0,2.9811685055837904e16,0.0
18252605,1.546672751620762e17,0.0,0.0,257851514.0
18252606,0.0,81965000.0,4.887082546267988e16,0.0
18252615,2.122860488692109e18,0.0,0.0,3538736372.0
18252618,0.0,83558.0,49830478692041.0,0.0
18252630,0.0,40000000.0,2.3854291648950464e16,0.0
18252635,1.7043635419115597e17,0.0,0.0,284081550.0
18252643,0.0,71255674.0,4.249438948653042e16,0.0
18252659,8.284313500501691e17,0.0,0.0,1380761483.0
18252668,1.3309288956421286e18,0.0,0.0,2218057846.0
18252668,0.0,116634857.0,6.9570717968254456e16,0.0
18252671,7.155569590066834e17,0.0,0.0,1192403458.0
18252678,1.2002399432133989e17,0.0,0.0,200000000.0
18252682,0.0,490000000.0,2.9229470650083744e17,0.0
18252682,0.0,200000000.0,1.1930164238305208e17,0.0
18252691,3.2778e17,0.0,0.0,546200509.0
18252692,0.0,300000000.0,1.7895546605869814e17,0.0
