blockNumber,amount0In,amount1In,amount0Out,amount1Out
18254261,0.0,508349042.0,3.0206612494500883e17,0.0
18254262,0.0,500000000.0,2.970710401845709e17,0.0
18254285,0.0,117651714.0,6.989692977383043e16,0.0
18254288,0.0,1010426626.0,6.00218106582161e17,0.0
18254306,0.0,350000000.0,2.078764352487067e17,0.0
18254328,0.0,500000000.0,2.969377032578842e17,0.0
18254337,0.0,500000000.0,2.969040138273814e17,0.0
18254355,0.0,500000000.0,2.9687033013283706e17,0.0
18254427,0.0,100000000.0,5.9370020440652376e16,0.0
18254513,1.288625e16,0.0,0.0,21575135.0
18254518,7.61201687921087e16,0.0,0.0,127443994.0
18254528,2.5900211428127584e17,0.0,0.0,433605953.0
18254542,3.4164156337296508e16,0.0,0.0,57192403.0
18254550,1.8191684726863532e16,0.0,0.0,30453431.0
18254553,4.8887864290099816e16,0.0,0.0,81838720.0
18254559,8921250000000000.0,0.0,0.0,14934087.0
18254576,4.960134191842946e16,0.0,0.0,83031248.0
18254581,0.0,83031248.0,4.930418304105409e16,0.0
18254594,2.5e16,0.0,0.0,41849488.0
18254619,0.0,166248763.0,9.871712159395077e16,0.0
18254619,6.35324108226009e16,0.0,0.0,106354175.0
18254624,1.6077084775822034e16,0.0,0.0,26912864.0
18254627,9912500000000000.0,0.0,0.0,16593334.0
18254650,991250000000000.0,0.0,0.0,1659329.0
18254661,2.168683122857896e17,0.0,0.0,363017588.0
18254664,7930000000000000.0,0.0,0.0,13273520.0
18254669,100000000000000.0,0.0,0.0,167383.0
18254672,100000000000000.0,0.0,0.0,167383.0
18254706,6104621097931588.0,0.0,0.0,10218107.0
18254711,0.0,13070030.0,7761667138375473.0,0.0
18254731,0.0,14004185.0,8316391670521576.0,0.0
18254742,4.310524609070871e17,0.0,0.0,721453651.0
18254744,3569633130954966.0,0.0,0.0,5974009.0
18254751,0.0,248126100.0,1.4736982011212842e17,0.0
18254756,0.0,101508606.0,6.028672985322925e16,0.0
18254767,0.0,368190000.0,2.186591855695118e17,0.0
18254789,0.0,23000000.0,1.3658539747294808e16,0.0
18254812,0.0,10000000.0,5938473293750342.0,0.0
18254823,0.0,95212949.0,5.6541281328580936e16,0.0
18254837,0.0,99500000.0,5.908579943820269e16,0.0
18254838,0.0,73496202.0,4.364318185988962e16,0.0
18254851,0.0,2115502.0,1256207025830123.0,0.0
18254861,0.0,88430000.0,5.251011236166703e16,0.0
18254869,0.0,49562500.0,2.942996359375444e16,0.0
18254877,1.5e16,0.0,0.0,25109973.0
18254882,0.0,41323132.0,2.453735542835516e16,0.0
18254895,0.0,3816816487.0,2.2654058458891538e18,0.0
18254899,0.0,3909727404.0,2.318519066273613e18,0.0
18254903,0.0,5500000.0,3260121617741139.0,0.0
18254945,0.0,509857347.0,3.0220000035508275e17,0.0
18254946,0.0,796679513.0,4.7213384289592096e17,0.0
18254978,0.0,624487500.0,3.7002857608940205e17,0.0
18254984,0.0,10272401563.0,6.079218166713655e18,0.0
18255030,0.0,80814317.0,4.776991234969712e16,0.0
18255034,0.0,172000000.0,1.0166750420575448e17,0.0
18255040,2.1154013783723768e18,0.0,0.0,3556008063.0
18255041,0.0,207449995.0,1.227154506417239e17,0.0
18255047,0.0,999003000.0,5.908719018710372e17,0.0
18255062,0.0,40497664.0,2.394998954948771e16,0.0
18255110,0.0,495625000.0,2.930908301786788e17,0.0
18255173,0.0,21884736.0,1.2940911168838092e16,0.0
18255209,0.0,15000000.0,8869782878080703.0,0.0
18255210,0.0,51000000.0,3.0157036619287052e16,0.0
18255282,0.0,250000000.0,1.4782357813873366e17,0.0
18255287,0.0,18801220.0,1.1116715695298244e16,0.0
18255302,0.0,12336139.0,7294040835910911.0,0.0
18255312,0.0,183000000.0,1.0820079059298717e17,0.0
18255332,0.0,339365021.0,2.0064149218777248e17,0.0
18255401,0.0,48006759.0,2.838160764716363e16,0.0
18255412,0.0,100000000.0,5.9119034362183016e16,0.0
18255443,0.0,413396389.0,2.4438176254058154e17,0.0
18255447,0.0,200000000.0,1.1822298944635157e17,0.0
18255453,0.0,38191804.0,2.257513687088738e16,0.0
18255453,0.0,35000000.0,2.0688293321693976e16,0.0
18255479,0.0,420000000.0,2.4824674997584374e17,0.0
18255481,0.0,77142000.0,4.559326674184541e16,0.0
18255517,0.0,298610051.0,1.7648011689844534e17,0.0
18255520,0.0,100000000.0,5.90978595572155e16,0.0
18255534,0.0,300000000.0,1.7728555800408595e17,0.0
18255534,0.0,76000000.0,4.491042832954021e16,0.0
18255550,0.0,47790000.0,2.8239990639461692e16,0.0
18255571,0.0,56066118.0,3.3130111710342336e16,0.0
18255575,0.0,72317345.0,4.273252718712792e16,0.0
18255584,7930000000000000.0,0.0,0.0,13339830.0
18255596,0.0,10868439.0,6422150787801872.0,0.0
18255605,0.0,404599285.0,2.3906612646141043e17,0.0
18255623,5.99e17,0.0,0.0,1007614756.0
18255635,0.0,150797750.0,8.911685100055891e16,0.0
18255637,0.0,245000000.0,1.4478101132120483e17,0.0
18255643,0.0,151695907.0,8.96395934215282e16,0.0
18255646,0.0,245000000.0,1.447680108881131e17,0.0
18255666,0.0,13482500.0,7966438898047356.0,0.0
18255669,0.0,98000000.0,5.790477825555786e16,0.0
18255674,0.0,196000000.0,1.1580570508757098e17,0.0
18255719,0.0,19958236.0,1.1791944048873062e16,0.0
18255723,1015580229078184.0,0.0,0.0,1708607.0
18255725,1.0817646634269656e18,0.0,0.0,1819579720.0
18255742,0.0,1081255.0,639101654856335.0,0.0
18255743,0.0,16000005.0,9457167760993562.0,0.0
18255756,0.0,12000000.0,7092851118449134.0,0.0
18255773,0.0,300000000.0,1.7731502432856944e17,0.0
18255774,0.0,7000000.0,4137206587688354.0,0.0
18255824,0.0,25000000.0,1.477568433827414e16,0.0
18255827,0.0,495025291.0,2.925563001624159e17,0.0
18255865,0.0,40701710.0,2.4052950326365892e16,0.0
18255868,0.0,461148360.0,2.725032774431893e17,0.0
18255888,6000000000000000.0,0.0,0.0,10093289.0
18255888,9912500000000000.0,0.0,0.0,16674903.0
18255921,3.4986809525929104e16,0.0,0.0,58854647.0
18255930,1.719687961282719e16,0.0,0.0,28928221.0
18255950,3.700226793792394e16,0.0,0.0,62243777.0
18255957,3.325153557612243e16,0.0,0.0,55933690.0
18255960,1.1459858e17,0.0,0.0,192765254.0
18255963,1.486875e16,0.0,0.0,25009973.0
18255991,0.0,325000000.0,1.9205260018481104e17,0.0
18255993,0.0,110000000.0,6.499921586457722e16,0.0
18255996,2.97375e16,0.0,0.0,50024446.0
18255997,0.0,4981717.0,2943701423897984.0,0.0
18256028,0.0,104081250.0,6.150095380489429e16,0.0
18256082,3.1350988714725604e16,0.0,0.0,52739345.0
18256115,5947500000000000.0,0.0,0.0,10004948.0
18256131,1.06797354985512e16,0.0,0.0,17965508.0
18256138,1836167143971563.0,0.0,0.0,3088802.0
18256144,5.081238772517443e16,0.0,0.0,85475809.0
18256170,2.3875438380751172e16,0.0,0.0,40162318.0
18256182,1.7422311034424134e17,0.0,0.0,293060153.0
18256192,0.0,49562500.0,2.92890003244653e16,0.0
18256193,0.0,7329927.0,4331598492738626.0,0.0
18256224,3.094863307307832e16,0.0,0.0,52057228.0
18256227,8.623875e16,0.0,0.0,145054869.0
18256250,0.0,4432932.0,2619741695208212.0,0.0
18256286,0.0,19825000.0,1.1716001202457684e16,0.0
18256291,0.0,25142843.0,1.4858616886574512e16,0.0
18256308,0.0,16688942.0,9862584790193322.0,0.0
18256332,4.189424510988858e17,0.0,0.0,704610115.0
18256345,2.4561757589875246e18,0.0,0.0,4128719662.0
18256347,2.920749879397079e17,0.0,0.0,490707449.0
18256355,1.5e17,0.0,0.0,251989755.0
18256357,2.7321061795481325e17,0.0,0.0,458938129.0
18256364,2.1834412720159427e17,0.0,0.0,366739204.0
18256372,9.2e17,0.0,0.0,1544932147.0
18256372,7.759492029177219e17,0.0,0.0,1302609783.0
18256380,0.0,50000000.0,2.9610190620410696e16,0.0
18256381,0.0,65000000.0,3.8492746339564344e16,0.0
18256400,1.428567176883402e16,0.0,0.0,23978801.0
18256408,0.0,500000000.0,2.96080730164312e17,0.0
18256432,0.0,16209950.0,9598345477913716.0,0.0
18256432,0.0,32571023.0,1.9286068394902948e16,0.0
18256440,0.0,200000000.0,1.1842158457787819e17,0.0
18256456,0.0,49562500.0,2.934551844015176e16,0.0
18256464,0.0,106974000.0,6.333723779539935e16,0.0
18256473,0.0,300000000.0,1.7761601793631725e17,0.0
18256478,0.0,200000000.0,1.1840396946136547e17,0.0
18256578,5824483000000000.0,0.0,0.0,9779593.0
18256588,2.972438e16,0.0,0.0,49908358.0
18256591,4159795575760300.0,0.0,0.0,6984408.0
18256597,3.057930313904319e17,0.0,0.0,513404428.0
18256654,2.5e16,0.0,0.0,41970543.0
18256657,1.5779573419064684e16,0.0,0.0,26490884.0
18256663,1.994e17,0.0,0.0,334740725.0
18256665,0.0,10500000.0,6217449196699713.0,0.0
18256689,2.467529268828311e16,0.0,0.0,41421722.0
18256691,1.6195840954284442e16,0.0,0.0,27187292.0
18256694,2.7e16,0.0,0.0,45323417.0
18256730,9.743435060401184e16,0.0,0.0,163553814.0
18256751,0.0,94050000.0,5.5693434120605384e16,0.0
18256774,1.99830513619858e17,0.0,0.0,335424690.0
18256781,0.0,123906250.0,7.337714302388986e16,0.0
18256794,0.0,175000000.0,1.036312959247826e17,0.0
18256794,1.5990234587760298e16,0.0,0.0,26841054.0
18256801,7e16,0.0,0.0,117499403.0
18256838,1.1547642547652638e17,0.0,0.0,193827588.0
18256846,9912500000000000.0,0.0,0.0,16637767.0
18256875,0.0,250000000.0,1.4804952033689424e17,0.0
18256878,0.0,250000000.0,1.4804113335646253e17,0.0
18256881,0.0,430000000.0,2.5461114041654013e17,0.0
18256884,0.0,350337887.0,2.0742335368115277e17,0.0
