blockNumber,logIndex,baseAmount,quoteAmount,price,liquidity
136269095,3,0.001261785768824686,-2.104224,1672.674092026363520938952228,945060.794532426379
136275593,58,0.000792906202295456,-1.322294,1672.673977579420976355897311,945060.794564578592
136278748,18,0.000049512433671005,-0.082569,1672.673970432867794857250108,945060.794564578592
136287539,81,-1,1677.779701,1672.8187527053581814405826,945060.794564578592
136287539,90,-1.801283716813571487,3022.523668,1673.079594085902644874975115,945060.794564578592
136287604,7,-0.026334972308076061,44.193135,1673.083408068970439409857817,945060.794564578592
136288471,3,0.000841940807929452,-1.404411,1673.083286499834033279128062,945060.794564578592
136290395,18,0.00017659040106402,-0.294564,1673.083261001674379449427956,945060.794564578592
136291785,6,0.000007,-0.011676,1673.083259990933623551301885,945060.794564578592
136300830,18,0.000548525942194607,-0.914976,1673.083180788432836690219023,945060.794564578592
136306479,14,0.000186338632914762,-0.310824,1673.08315388271355746948082,945060.794564578592
136306479,20,0.003540434025380495,-5.905669,1673.082642674170567425981563,945060.794564578592
136310683,19,0.000944412433552296,-1.575339,1673.082506309092012914417959,945060.794564578592
136324685,30,0.009495835613497744,-15.839648,1673.08113517063781421083284,945045.679992504636
136328044,18,0.000802369891832047,-1.338402,1673.081019313590092017562096,945045.679992504636
136328168,7,0.075643680611502437,-126.17792,1673.07009690705589766266922,945045.679992504636
136329414,3,0.085793187875871341,-143.106873,1673.057709113700553401106305,945045.679992504636
136333502,18,0.000249520526282922,-0.416209,1673.057673085298075372143281,945045.679992504636
136336680,3,0.068890350783151061,-114.911415,1673.047726015154126270136233,945045.679992504636
136337597,3,0.000722596927062299,-1.205312,1673.047621679933725747916657,945045.679992504636
136337948,3,0.091873767822566843,-153.247453,1673.034356176021056375533489,945045.679992504636
136338099,3,0.000701588096188553,-1.170259,1673.034254875463918178782587,945045.679992504636
136338590,3,0.089545582673067087,-149.362811,1673.021325687417784034756151,945045.679992504636
136338827,81,-1.033434085372025451,1734.237312,1673.170997952073922397198741,945045.679992504636
136338827,106,-1,1678.278256,1673.315847079608283979548995,945045.679992504636
136339064,87,-1,1678.423551,1673.460715017692792973899732,945045.679992504636
136339072,59,-0.051441033865500628,86.343773,1673.468167682967179146269985,945045.679992504636
136339089,47,-0.01068808601818855,17.94,1673.469716155905300246951566,945045.679992504636
136339109,7,-5.668273904516173785,9516.562406,1674.291229592039641743423929,945045.679992504636
136340029,4,-0.000114335544300125,0.192008,1674.291246169002511368783776,945045.679992504636
136340043,15,-0.000953422493103114,1.601111,1674.29138440117221850513024,945045.679992504636
136340278,3,-1,1679.402088,1674.436379046719686388901837,945045.679992504636
136340278,6,-0.025956988693125605,43.594159,1674.440142921885753373151807,945045.679992504636
136340286,4,-0.015740481466618518,26.43582,1674.442425365679347538082541,945045.679992504636
136340316,15,-0.045010080952803024,75.593718,1674.448952064719158145812311,945045.679992504636
136340329,3,-1,1679.56014,1674.593967179373674506185623,945045.679992504636
136340479,9,-0.935776096667262697,1571.823978,1674.729685920510137768210912,945045.679992504636
136340482,3,-0.000048278835988103,0.081098,1674.729692922977033483109231,945045.679992504636
136340523,3,-1,1679.841744,1674.874744510157980780917597,945045.679992504636
136340524,17,-0.305940245864619021,513.960262,1674.919125393037810641081978,945045.679992504636
136340527,12,-1,1680.031758,1675.064201592118160945600796,945045.679992504636
136340527,27,-0.065252751556161471,109.631754,1675.073668868391986644620724,945045.679992504636
136340529,3,-1.017684819731176274,1709.901886,1675.22133131865806122971639,945045.679992504636
136342163,6,0.0840633159340277,-140.401676,1675.209169884388624808691417,945045.679992504636
136343479,4,0.056420336333562623,-94.232087,1675.201007632389906076198035,945045.679992504636
136343718,5,-0.005959379428438288,10.013201,1675.201872358929798813960458,945045.679992504636
136343811,3,0.0000038,-0.006346,1675.201871809190639578203066,945045.679992504636
136343921,5,-0.002380608364841843,4,1675.202217243874436481020951,945045.679992504636
136344138,4,-0.000105054779290362,0.176518,1675.202232487696503749363322,945045.679992504636
136344589,4,-0.000833998977819866,1.401321,1675.202353503921406785703804,945045.679992504636
136344818,3,-0.000104409475573649,0.175434,1675.202368654109457778741338,945045.679992504636
136344997,4,-0.002975759496775542,5,1675.202800447533801147883276,945045.679992504636
136344998,3,-0.01251321191332549,21.025255,1675.204616161493279457261403,945045.679992504636
136345140,4,-0.000833997791110222,1.401321,1675.204737177804280485494291,945045.679992504636
136345268,5,-0.438423571667164924,736.67321,1675.268355952236855216157496,945045.679992504636
136345427,3,-0.002955973201801626,4.96695,1675.26878489994150097871195,945045.679992504636
136345537,12,-0.062849859881615902,105.607518,1675.27790521888448729966753,945045.679992504636
136345642,6,-0.000535612614712801,0.9,1675.277982943449042468591691,945045.679992504636
136345873,13,-0.051904007224610478,87.215483,1675.285514935775267221085289,945045.679992504636
136346782,7,-0.007556704062587494,12.697735,1675.28661152272335019954602,945045.679992504636
136347561,6,-0.059512051453577921,100,1675.295247618921748954160891,945045.679992504636
136347573,9,-0.048404209415791907,81.335519,1675.302271848962945350081313,945045.679992504636
136347582,6,-0.044650368235317068,75.028093,1675.308751375387110834975309,945045.679992504636
136347603,9,-0.052332200386361851,87.936602,1675.316345713913139951220085,945045.679992504636
136347618,6,-0.044647973231193004,75.024699,1675.322824974426136627479045,945045.679992504636
136347625,6,-0.007809944077141199,13.123553,1675.323958348038850948098564,945045.679992504636
136347629,9,-0.044695621210583003,75.105106,1675.330444567399590260327077,945045.679992504636
136347718,15,-0.055678840169075816,93.561366,1675.338524721927710289374028,945045.679992504636
136347732,6,-0.044650139799489259,75.029332,1675.345004425523679343736977,945045.679992504636
136347748,6,-0.044697811395616535,75.10973,1675.351491084954687059640222,945045.679992504636
136347807,27,-0.005355889773746768,9,1675.352268347751278269157091,945045.679992504636
136347828,9,-0.055880330475415311,93.901169,1675.360377901264957609361427,945045.679992504636
136347840,6,-0.044649630806286376,75.029456,1675.366857657776100720806463,945045.679992504636
136347846,7,-0.00098924001117444,1.662327,1675.367001221189586003327281,945045.679992504636
136347855,4,-0.014907879798959831,25.051341,1675.369164728829790912177672,945045.679992504636
136348408,8,-1,1680.485627,1675.519177787541920987614788,914315.05381192896
136348408,11,-0.087556047655317957,147.143845,1675.532313297332976207294511,914315.05381192896
136348410,17,-1.295821985026645349,2177.851127,1675.726735775471675267407406,914315.05381192896
136348762,57,-1.090417460028877432,1832.829343,1675.890240333872137496058894,915318.227377890749
136348997,3,0.049633970757450872,-82.93136,1675.88282212633047995694703,915318.227377890749
136349154,5,-0.041006132444050686,68.928385,1675.888969270004636217910241,915318.227377890749
136349489,30,-2.546974304401067184,4281.76185,1676.25838655209992029498941,946187.062891338555
136349503,3,-0.004163438523970857,7,1676.258990523966369813948717,946187.062891338555
136352599,3,-0.00137805009566955,2.31692,1676.259190431804472489343999,946186.827910633814
136358169,3,0.001254916958341911,-2.097255,1676.259008932499201856774619,946186.827910633814
136360862,13,0.000041442447499098,-0.069259,1676.259002938656542543103828,946186.827910633814
136360862,19,0.000787406502482866,-1.315937,1676.258889055652123796963048,946186.827910633814
136362067,3,0.007264758191249641,-12.141078,1676.257838350513809828880335,946186.827910633814
136362235,3,0.00791977737242789,-13.235757,1676.256692910791825360734782,946186.827910633814
136362384,17,0.00803887176900575,-13.434782,1676.255530247613055110900163,946186.827910633814
136362918,18,-0.007221244016356876,12.141078,1676.256577799775199538458677,946186.827910633814
136363166,3,-0.007872329737377435,13.235757,1676.257719803022533540946206,946186.827910633814
136363409,3,-0.007990699884896919,13.434782,1676.258878978884955790734182,946186.827910633814
136365855,15,-0.200310718021925148,336.785888,1676.287937570995908984477112,946186.827910633814
136372647,3,-0.003320155848930479,5.582285,1676.2884192243526320776103,946186.827910633814
136372896,3,0.026130358432040652,-43.670561,1676.284639883989201050434685,946186.827910633814
136373642,3,0.024523252104785307,-40.984583,1676.281092997597892488027748,946186.827910633814
136374341,3,0.024939909300740394,-41.680834,1676.277485860119632707478309,946186.827910633814
136376369,3,0.032082504551417624,-53.617768,1676.272845683716103414764649,946186.818840278245
136377713,44,-0.000253164630354702,0.42565,1676.27288240968010202773495,946186.818840278245
136377786,4,0.027915945518765986,-46.654302,1676.268844869132189728121056,946186.818840278245
136378064,50,0.00147244224800443,-2.460804,1676.268631907190037430180599,946186.818840278245
136378535,4,0.030713492297832087,-51.329543,1676.264189769404511570319455,946186.818840278245
136379147,5,-0.000267053962948807,0.449,1676.26422850995944596849294,946186.818840278245
136379323,3,0.025356487827279977,-42.376614,1676.260561176827459336755952,946186.818840278245
136381480,3,0.034284242447263809,-57.29683,1676.255602633127066920306222,946186.818840278245
136381515,10,-0.00020222452739386,0.34,1676.255631968884129448618299,946186.818840278245
136382267,55,0.0258322243439453,-43.171459,1676.251895858379418637094297,946186.818840278245
136383707,72,0.028327395077780943,-47.34134,1676.24779888608651863798804,946186.818840278245
136383835,20,0.002195048468900495,-3.668406,1676.247481418314722799140669,946186.818840278245
136384483,3,0.001472262661573122,-2.460472,1676.247268486417149896960799,946186.818840278245
136385710,22,-0.000276215808473308,0.4644,1676.247308555441253286125817,946186.818840278245
136385871,18,0.000086585166053735,-0.144702,1676.247296032714845857191023,946186.818840278245
136387184,41,0.024880861998251892,-41.581313,1676.243697544216388229940348,946186.818840278245
136388601,5,-0.000262227381171634,0.44088,1676.243735583898945733025565,946186.818840278245
136388804,12,-1,1681.360353,1676.388808734423196995121944,946186.818840278245
136388804,19,-1,1681.505872,1676.533900719138441571539636,946186.818840278245
136388894,16,-0.000962967663243037,1.619306,1676.534040447106057079305683,946186.818840278245
136389137,4,-0.002837599655629386,4.771648,1676.534452186924263263646759,946186.818840278245
136389188,20,-0.164817636640488962,277.155885,1676.558367724883738604351183,946186.818840278245
136389363,10,-0.001197784064407665,2.014198,1676.558541528849987309244058,946186.818840278245
136389374,8,-1.486536155834242295,2499.925,1676.774265581670875242847046,946186.818840278245
136391533,3,0.012854978783429147,-21.49022,1676.772405503641051271657139,946186.818840278245
136392938,3,0.022793781824321124,-38.105286,1676.769107317336741349784887,946186.818840278245
136393926,4,-1,1681.88734,1676.914248678365581253859851,946186.818840278245
136393926,37,-0.061648878631699915,103.691233,1676.923197097212963904651818,946186.818840278245
136393928,9,-1.373668760419262667,2310.605784,1677.122605572499126063909252,946186.818840278245
136393928,16,-1,1682.241924,1677.26779283522571654251787,946186.818840278245
136393931,3,-1,1682.387558,1677.41299895189921199436632,946186.818840278245
136393931,19,-0.298991055437986124,503.047116,1677.456417943776455996735713,946186.818840278245
136394066,49,-0.000342013649576513,0.57544,1677.456467611404358959459914,946186.818840278245
136394168,3,-0.001515598098847163,2.55,1677.45668770838468851211318,946186.818840278245
136395263,8,0.017020780436342888,-28.465946,1677.454223347968272956784436,946186.818840278245
136395361,7,0.020948652844729708,-35.034953,1677.451190296449250639798472,946186.818840278245
136395393,3,0.018449097675756275,-30.854593,1677.448519149935302412603488,946186.818840278245
136395600,20,0.013092908027956066,-21.896778,1677.446623501441195707019839,946186.818840278245
136396506,10,-1,1682.566938,1677.591852842099190536057636,946186.818840278245
136396506,97,-0.401684321389262548,675.901769,1677.650194500827386615595964,946186.818840278245
136396510,2,-1.6531478231760044,2781.948098,1677.890333960779236507712312,946186.818840278245
136396510,24,-1,1683.012013,1678.035620929590245609294886,946186.818840278245
136396514,6,-1,1683.157747,1678.180926769614220346493285,946186.818840278245
136396514,27,-0.153464566122339193,258.317973,1678.203227737768924179631349,946186.818840278245
136396518,28,-1,1683.325868,1678.348555349127638651679004,946186.818840278245
136396523,10,-0.974763813323945473,1640.985445,1678.490233615371405952176276,946186.818840278245
136396611,20,-1,1683.613757,1678.635598509966473940641579,946186.818840278245
136396614,3,-1,1683.759568,1678.780982289271633253448011,946186.818840278245
136396615,2,-0.759365953355386191,1278.687104,1678.891394398466956005951601,946186.818840278245
136396617,17,-2.199474505372851623,3704.143,1679.211260332951013735832019,946186.818840278245
136396830,7,-0.789049028289857362,1329.01233,1679.326032705687385041705647,946186.818840278245
136397560,90,0.011312712714074767,-18.94073,1679.324392050820833994628664,946186.818840278245
136397913,6,0.007263952374300638,-12.161932,1679.323338578963553885234106,946186.818840278245
136397961,4,0.006370843475821052,-10.666607,1679.322414633150593823361455,946186.818840278245
136398001,47,0.007859358306620363,-13.158796,1679.321274813198257567941332,946186.818840278245
136398033,8,-1,1684.447353,1679.466747681419728063307103,946186.818840278245
136398072,3,0.016195041359096506,-27.117417,1679.464398659980967967121586,946186.818840278245
136398210,3,0.006847168221676832,-11.465073,1679.463405509016728703634196,946186.818840278245
136398218,50,-0.947196485079477357,1595.634002,1679.601213919564484367088716,946186.818840278245
136398259,85,-0.000431548858410254,0.727012,1679.601276709835278416315575,946186.818840278245
136398316,3,0.009883738476507428,-16.55093,1679.599842943028329559081182,946186.818840278245
136398334,3,-1,1684.726777,1679.745352010395012107472247,946186.818840278245
136398382,56,0.009526494917115593,-15.954072,1679.74396988863532417003437,946186.818840278245
136398406,7,-0.038649296844203083,65.116382,1679.749594084357311365945342,946186.818840278245
136398425,3,0.006847168221676832,-11.46702,1679.748600680406977288750104,946186.818840278245
136398515,7,-1,1684.875992,1679.894129079653070361406451,946186.818840278245
136400210,5,-0.000164515128213409,0.2772,1679.894153022832237526748447,946186.818840278245
136401044,4,-0.003560938090358452,6,1679.894671274255466287758004,946186.818840278245
136401297,4,-0.593784275605526903,1000.522265,1679.981092740321271118850592,946186.818840278245
136401486,66,-0.01186917509600183,20,1679.982820290077522870064579,946186.818840278245
136401567,129,-1.749874861210018192,2948.82905,1680.23754245544471513179841,946186.818840278245
136401577,25,-0.477843606999589801,805.32336,1680.307110275383260369089165,946186.818840278245
136401735,20,-0.856543712966444762,1443.640824,1680.431822723794191709148823,946186.818840278245
136401821,13,-0.000094422753250243,0.159149,1680.431836472477561449261242,946186.818840278245
136401934,15,-2.611922029553758312,4402.862254,1680.81221709401904536216214,946186.818840278245
136401936,170,-0.337025076815241104,568.188706,1680.861308291463824554948856,946186.818840278245
136401938,45,-3.960799727398438431,6678.73399,1681.438401041728982589906178,946186.818840278245
136401985,111,-3.108981647654416653,5243.997556,1681.89159121273210508689861,946186.818840278245
136401994,10,-0.817811750531763591,1379.65844,1682.010832467967664603704129,946186.818840278245
136401994,30,-0.336665825259511964,567.987793,1682.059923800944455384258653,946186.818840278245
136402133,5,-1,1687.194421,1682.205752679202758351802305,946186.818840278245
136402185,16,-0.002963370771807092,5,1682.206184852420269505198177,946186.818840278245
136402288,39,-0.010720302767966647,18.088033,1682.207748285489845299227033,946186.818840278245
136402559,3,-0.244248858197588248,412.118027,1682.243369767568822786232194,946186.818840278245
136404740,55,-0.571578760260552185,964.45176,1682.326733771014485442471978,946186.818840278245
136404749,24,-0.054199379906781162,91.455647,1682.334639000281974512851672,946186.818840278245
136404755,31,-0.512394956724314738,864.632831,1682.409376918905875348607562,946186.818840278245
136404782,9,-0.424064909547708808,715.610729,1682.471234785137101128095441,946186.818840278245
136404903,8,-0.004534004114254792,7.651287,1682.471896173595024596759592,946186.818840278245
136405288,17,-0.001777741296182413,3,1682.472155498030427135102177,946186.818840278245
136405596,28,-1.127629397608858716,1903.006831,1682.636658249174553116313173,946186.818840278245
136405717,63,-2.128905801921582086,3593.285446,1682.947296687762387016747921,946186.818840278245
136405717,133,-8.888999999999998976,15010.517767,1684.245261454551151931101539,946186.818840278245
136405720,42,-7.792551523470478737,13168.511,1685.384359248336070247366725,946186.818840278245
136405901,7,-0.010056455378617793,17,1685.385830025086467023446464,946186.818840278245
136406101,13,-0.863313896080414319,1459.449861,1685.512098589504574096417313,946186.818840278245
136406110,59,-1.420263398441788449,2401.222341,1685.719857641513966853764741,946186.818840278245
136406115,76,-3.018339887459942402,5104.054188,1686.16156032637298778497735,946042.048705842661
136406117,12,-4.198382086372147437,7101.746,1686.776268542458011630782761,946042.048705842661
136406118,3,-1.89857597586640375,3212.374,1687.05435987705314061269212,946042.048705842661
136406118,52,-0.327113514814101725,553.5267,1687.102280329520683452743197,946042.048705842661
136407664,3,0.010242518901361588,-17.228328,1687.100784323580619716239724,946042.048705842661
136407828,63,0.010124108278224461,-17.029142,1687.099305614462373780205805,946042.048705842661
136407873,10,0.007696690503913332,-12.946121,1687.098181450936415260665246,946042.048705842661
136408176,6,0.000816761542379598,-1.373822,1687.098062156412706068459191,946042.048705842661
136408274,3,0.010538545459204408,-17.726212,1687.09652291910905825540888,946042.048705842661
136408692,19,0.050324514833279481,-84.647422,1687.089172657661221356931473,946042.048705842661
136408751,3,0.046772196139165632,-78.671979,1687.082341281266377350690479,946042.048705842661
136409216,3,0.0460025270887743,-77.377066,1687.075622360399992249075514,946042.048705842661
136409793,9,0.044344778364854509,-74.588412,1687.069145600802290888650928,946042.048705842661
136410301,3,0.047186633320145582,-79.368129,1687.06225381612759682812587,946042.048705842661
136410922,3,0.050265309521710919,-84.54612,1687.054912425706077526066478,946042.048705842661
136411388,46,0.041739744655837685,-70.205862,1687.048816254529794038815807,946042.048705842661
136411857,16,-0.001181945583592117,2,1687.048989398968011709259935,946042.048705842661
136411985,3,0.050403172322576586,-84.777338,1687.041627960179959752182349,946042.048705842661
136412443,4,0.049988575135434365,-84.079626,1687.03432712135685997660248,946042.048705842661
136412920,5,0.043651160989117449,-73.419945,1687.02795190157206925083809,946042.048705842661
136413490,3,0.052002332901553753,-87.466004,1687.020357046473927631996028,946042.048705842661
136414478,5,0.044717268041768891,-75.212479,1687.01382620411663336559703,946042.048705842661
136415106,3,0.043828845497892683,-73.717908,1687.007425150395075349773349,946042.048705842661
136415708,3,0.042818949927762827,-72.019045,1687.001171623666355650169247,946042.048705842661
136416197,3,0.046668509741462118,-78.493482,1686.99435592459219120898461,946042.048705842661
136416814,6,0.013443847349380583,-22.611642,1686.992392526557559237987234,946042.048705842661
136416921,3,0.012259367406703881,-20.619404,1686.99060211812185220524787,946042.048705842661
136416954,3,0.012910831375176068,-21.715097,1686.98871657029034765927756,946042.048705842661
136417002,3,0.012259367406703881,-20.619359,1686.986926167706585609618422,946042.048705842661
136417135,21,0.012437039398105385,-20.918168,1686.985109820171783851134274,946042.048705842661
136417508,41,0.000007,-0.011773,1686.985108797868801300219388,946042.048705842661
136417972,3,0.006336967693320362,-10.658296,1686.984183326682402120425109,946042.048705842661
136418019,4,0.008054463610201583,-13.546984,1686.983007027955839172280077,946042.048705842661
136418051,4,0.006336967693320362,-10.658282,1686.982081558498969149671195,946042.048705842661
136418117,5,0.006277743696186528,-10.558666,1686.981164739040277623855209,946042.048705842661
136418246,4,0.00722532765032789,-12.15242,1686.980109532663891495960921,946042.048705842661
136418281,3,0.006277743696186528,-10.558654,1686.979192714812796373559498,946042.048705842661
136418324,6,0.006633087678989539,-11.156308,1686.978224002423684235078899,946042.048705842661
136418387,7,0.007699119627398572,-12.949278,1686.977099605161211529736833,946042.048705842661
136418883,42,0.000548788272808878,-0.923015,1686.977019458893710668861511,946042.048705842661
136421970,3,0.001452909371980829,-2.443671,1686.976807272785120229104185,946042.048705842661
136427553,14,0.000462149093643757,-0.777295,1686.976739779514399464365178,946042.048705842661
136432366,3,0.00087655333444111,-1.474288,1686.976611765725980232774497,946041.889893000571
136433208,31,-0.05962351222262072,100.886391,1686.985345550041436342963789,946041.889893000571
136434868,3,0.001031201652703464,-1.734403,1686.985194949912238058643293,946041.843775745785
136435577,11,-0.004136965023406005,7,1686.985800944189315878797539,946041.843775745785
136436922,6,0.001195442753792437,-2.010644,1686.985626357673014777117771,946041.843775745785
136441259,23,0.002358099455860708,-3.966145,1686.985281972906118338033147,946041.843775745785
136441325,4,-0.001895392787979649,3.207122,1686.985559615355845738017244,946041.843775745785
136451039,16,0.128436478873398147,-216.01917,1686.96519882354543603486399,871529.31119309844
136455829,3,0.000782287423699662,-1.315732,1686.965074810130782220144249,871529.31119309844
136462736,6,0.000558826245925871,-0.939892,1686.96498622126792075173153,871529.19937700575
136471789,105,1,-1681.825069,1686.806470731369124050987295,871529.19937700575
136471789,137,0.423748124839422814,-712.622547,1686.739306829377605573011054,871529.19937700575
136471841,74,1.191464766574764595,-2003.549228,1686.55048165297974125005185,871529.19937700575
136471844,11,3.867569176579021421,-6502.100684,1685.937761780193698827628552,871529.19937700575
136471900,35,0.955172214555836585,-1605.457794,1685.786502203221284283612539,871673.969511441334
136471900,58,0.1273474329216005,-214.035261,1685.766338920752213253555444,871673.969511441334
136471902,67,1.013702244417816532,-1703.657423,1685.605849451545601492710492,871673.969511441334
136471904,163,5.353,-8993.718201,1684.758741740733078300124446,871673.969511441334
136471905,90,5.814540245140966515,-9764.043859,1683.839319012140371918365581,871673.969511441334
136471906,77,2.2,-3692.951843,1683.49164080744564621555362,871673.969511441334
136471907,140,2.3,-3859.998041,1683.128274171227433531411,871673.969511441334
136472182,41,0.001312071697732594,-2.201759,1683.128066916508436667524317,871673.969511441334
136473675,31,-0.000121848124842678,0.205704,1683.128086221539983260455625,871673.969511441334
136476071,3,0.000465169940815126,-0.780591,1683.128012743348864182699595,871673.969511441334
136478365,9,0.001063841857135152,-1.78521,1683.127844699027794471538409,871673.969511441334
136491774,3,0.0011853662169951,-1.989137,1683.127657458764326144667913,871673.969511441334
136494427,5,0.000335850971939094,-0.563584,1683.127604407802659561279942,871673.969511441334
136498808,19,0.001133722457568713,-1.902474,1683.127425325217105467212322,871673.969511441334
136505067,3,0.000553329752435326,-0.92853,1683.127337922406398224894095,871684.363831416757
136507659,4,0.000851300551165426,-1.428548,1683.127203452764661513763634,871684.363831416757
136513171,22,1.26656802848274304,-2125.273408,1682.927156881122305631088036,871684.363831416757
136513179,2,1.415763387270547968,-2375.320981,1682.703588037788133536689578,871684.363831416757
136513375,9,1.2,-2013.073233,1682.514126132918910453256879,871684.363831416757
136513948,19,1.341579216719320064,-2250.312669,1682.302348886094574301479112,871684.363831416757
136513950,7,2.965625599219297989,-4973.419749,1681.834346925164660522816325,871684.363831416757
136514214,9,1.34197065059456896,-2250.059782,1681.622636259382791221639167,871684.363831416757
136514239,2,1.416700225885115136,-2375.050287,1681.399179552832180560167247,871684.363831416757
136514244,31,1.789798309296445184,-3000.085481,1681.116937606506719636034323,871684.363831416757
136514249,2,1.491709229093088,-2500.039547,1680.881757062386404650592113,871684.363831416757
136514251,68,6.049800693895816192,-10135.617238,1679.928460704795530127786128,871684.363831416757
136515745,6,0.001,-1.674888,1679.928303197001367766738299,871684.363831416757
136516132,4,1.119700394418096128,-1875.274899,1679.751955555217371093022563,871684.363831416757
136516135,7,1.418467082318665984,-2375.36689,1679.528593406790494909700046,871684.363831416757
136516143,2,1.194664848490653952,-2000.342335,1679.340507347232968799309794,871684.363831416757
136516189,2,1.120113607574185088,-1875.310541,1679.164187209352599024234586,871684.363831416757
136516191,28,1.717701414198198016,-2875.418301,1678.893853083027313741782163,871684.363831416757
136516191,50,0.078423408275526491,-131.269101,1678.881512261393993486124626,871684.363831416757
136516545,44,1.120453651466531968,-1875.367119,1678.705210902971629353868264,871684.363831416757
136516580,34,1.120377689792579072,-1875.043068,1678.528949263124926157066509,871684.363831416757
136516593,9,1.49402264995376896,-2500.061959,1678.293947712289765995194748,871684.363831416757
136516596,2,1.195386591825248,-2000.079424,1678.105955510702139265928754,871684.363831416757
136516647,11,0.014425019496798318,-24.134074,1678.103687156163297114775587,871684.363831416757
136516766,18,1.49456614883532416,-2500.337765,1677.868689456512559589843205,871684.363831416757
136516955,4,0.001613117427359286,-2.698479,1677.868435845103586266486585,871684.363831416757
136516965,12,0.000960448576370568,-1.606671,1677.868284845140090356263104,871684.363831416757
136516965,28,0.00005098684984953,-0.085292,1677.868276829087977320059952,871685.052067617411
136518167,4,0.745745166562066758,-1247.464786,1677.751038391929887039017335,871685.085455097321
136518186,15,1.195985640144964096,-2000.434365,1677.563043400515204197314842,871685.085455097321
136518187,26,0.248976705643111328,-416.41624,1677.523911140372955481462577,871685.085455097321
136518188,3,6.575,-10993.24452,1676.490998101266342514924593,871685.085455097321
