blockNumber,reserve0,reserve1
18259529,5.172198954204247e21,8920476650014.0
18259584,5.17202571167494e21,8920776350014.0
18259585,5.172046555387266e21,8920740506518.0
18259609,5.171941676614827e21,8920921949312.0
18259610,5.173101676614828e21,8918927549775.0
18259658,5.173356331468128e21,8918489838813.0
18259675,5.173067182291868e21,8918989838813.0
18259679,5.173057290262427e21,8919006945213.0
18259702,5.173047511754698e21,8919023855363.0
18259745,5.172844019615269e21,8919375772505.0
18259748,5.172728379007105e21,8919575772505.0
18259754,5.1727272312168e21,8919577757649.0
18259754,5.172719152905233e21,8919591729400.0
18259757,5.17260351788821e21,8919791729400.0
18259778,5.172997617888211e21,8919114221868.0
18259794,5.172985307825373e21,8919135510394.0
18259797,5.17290821630153e21,8919268831670.0
18259814,5.172857340592637e21,8919356817770.0
18259876,5.172845198028758e21,8919377817770.0
18259886,5.172905198028758e21,8919274673178.0
18259892,5.172900252606039e21,8919283225887.0
18259905,5.172726789947247e21,8919583225887.0
18259920,5.172876789947247e21,8919325357038.0
18259994,5.172564409571334e21,8919865631804.0
18260012,5.172520172951155e21,8919942146155.0
18260066,5.172566034951156e21,8919863295710.0
18260066,5.172572975981156e21,8919851362133.0
18260076,5.172544068400598e21,8919901362133.0
18260092,5.169713138802989e21,8924800588624.0
18260105,5.1695774358852e21,8924566316152.0
18260139,5.169578991534975e21,8924563638594.0
18260170,5.169583947784975e21,8924555107991.0
18260205,5.169586921534975e21,8924549989637.0
18260219,5.169663228860515e21,8924418653124.0
18260221,5.169666228860515e21,8924413489747.0
18260229,5.169680677529124e21,8924388621856.0
18260282,5.169682467529124e21,8924385541062.0
18260348,5.169445673617401e21,8924795565481.0
18260370,5.169157235855627e21,8925295065481.0
18260384,5.169042331698598e21,8925494065481.0
18260394,5.169095301245856e21,8925402877173.0
18260411,5.169038066433862e21,8925502002173.0
18260419,5.168922590221518e21,8925702002173.0
18260432,5.16889397457228e21,8925751564673.0
18260447,5.168886979737096e21,8925763679859.0
18260453,5.168881026102434e21,8925773991692.0
18260467,5.168852302660513e21,8925823741692.0
18260474,5.168823687790677e21,8925873304192.0
18260480,5.168766242502476e21,8925972804192.0
18260508,5.168752914100907e21,8925995890405.0
18260514,5.168734439467232e21,8926027890638.0
18260551,5.168673820945133e21,8926132890638.0
18260584,5.167519453884134e21,8928132890638.0
18260609,5.167464090112044e21,8928228833726.0
18260632,5.167406386571249e21,8928328833726.0
18260634,5.167370924058233e21,8928390291226.0
18260639,5.16739554118944e21,8928347884567.0
18260642,5.167338344070475e21,8928447009567.0
18260653,5.167268380022482e21,8928568263177.0
18260656,5.167282141716299e21,8928544555626.0
18260694,5.16723638593188e21,8928623855626.0
18260745,5.167230927607811e21,8928633315619.0
18260761,5.166942448876552e21,8929133315619.0
18260768,5.164152314439842e21,8933972144177.0
18260771,5.16414366993465e21,8933987144177.0
18260788,5.16657703473504e21,8929792018524.0
18260796,5.166571266323478e21,8929802018524.0
18260798,5.166715830073498e21,8929552913863.0
18260804,5.166773833368085e21,8929452969548.0
18260812,5.169026485079704e21,8925573204392.0
18260826,5.181024697099824e21,8904965236864.0
18260845,5.18099389394505e21,8905018339880.0
18260860,5.181219116233166e21,8904632409080.0
18260865,5.18003747067524e21,8906669803739.0
18260880,5.18003769567524e21,8906669418030.0
18260896,5.180244608413772e21,8906314729206.0
18260901,5.180254520913771e21,8906297737958.0
18260953,5.183683695212209e21,8900423597911.0
18260970,5.183654916340138e21,8900473160411.0
18260986,5.183534359604277e21,8900680787223.0
18261000,5.186234359604277e21,8896060907293.0
18261008,5.185616151064966e21,8897124651536.0
18261008,5.184454224922602e21,8899124651536.0
18261026,5.184404317667438e21,8899210576024.0
18261039,5.184277165134589e21,8899429499900.0
18261049,5.184102933158559e21,8899729499900.0
18261050,5.183879747965329e21,8900113819124.0
18261050,5.183861746216335e21,8900144819124.0
18261053,5.183710768728579e21,8900404819124.0
18261061,5.183624432437933e21,8900553506624.0
18261062,5.183446455373457e21,8900860032597.0
18261070,5.182041768701469e21,8903280032597.0
18261070,5.182027577729602e21,8903304487576.0
18261073,5.182014568183917e21,8903326906748.0
18261101,5.181731512802592e21,8903814720086.0
18261118,5.181615819183156e21,8904014120086.0
18261118,5.181607168121866e21,8904029030702.0
18261121,5.181327996453389e21,8904510226322.0
18261131,5.181037947101883e21,8905010226322.0
18261132,5.180994442507323e21,8905085226322.0
18261143,5.180908802671106e21,8905232869302.0
18261150,5.180849822842897e21,8905334553302.0
18261156,5.180791995101116e21,8905434253302.0
18261159,5.180722989007246e21,8905553228659.0
18261162,5.180688769498624e21,8905612228659.0
18261180,5.180106622233189e21,8906616064703.0
18261192,5.18004863715273e21,8906716064703.0
18261194,5.179386587191597e21,8907857982617.0
18261207,5.179154719226699e21,8908257982617.0
18261221,5.179027060953447e21,8908478223740.0
18261236,5.178176167872759e21,8909946495801.0
18261247,5.178060285558378e21,8910146495801.0
18261249,5.172272775824474e21,8920146495801.0
18261262,5.172918793779808e21,8919035848320.0
18261273,5.172920776279808e21,8919032440392.0
18261274,5.173782773229809e21,8917550909684.0
18261280,5.174416785402275e21,8916461535437.0
18261285,5.174413012373107e21,8916468056621.0
