blockNumber,logIndex,baseIn,quoteIn,baseOut,quoteOut,totalSupply,baseReserve,quoteReserve
136297255,4,0.00043,0,0,0.717139,2.039134483653,0.148433972992918828,247.578838
136322333,8,1E-8,0,0,0.000016,2.039134483653,0.148433982992918828,247.578822
136330339,4,0.000060158935485608,0,0,0.1,2.039134483653,0.148494141928404436,247.478822
136330589,4,0,1,0.000595827225003079,0,2.039134483653,0.147898314703401357,248.478822
136372537,5,0,0.5,0.000296120583543129,0,2.039134483653,0.147602194119858228,248.978822
136387546,19,0.000158497132398103,0,0,0.266269,2.039134483653,0.147760691252256331,248.712553
136389774,4,0.002,0,0,3.311634,2.039134483653,0.149760691252256331,245.400919
136390170,68,0,1.690682,0.001021658740204814,0,2.039134483653,0.148739032512051517,247.091601
136390706,17,0,0.99903,0.000597163869269308,0,2.039134483653,0.148141868642782209,248.090631
136391251,4,0,2,0.001181179686622596,0,2.039134483653,0.146960688956159613,250.090631
136410999,11,0.000061272056535819,0,0,0.103913,2.039134483653,0.147021961012695432,249.986718
136413231,4,0.000711280836503114,0,0,1.2,2.039134483653,0.147733241849198546,248.786718
136418083,3,0,2.327826,0.001365413247151078,0,2.039134483653,0.146367828602047468,251.114544
136421302,12,0.001071490213089827,0,0,1.819497,2.039134483653,0.147439318815137295,249.295047
136437737,3,0,11.242366,0.006343841465557707,0,2.039134483653,0.141095477349579588,260.537413
136437738,22,0.005641579201955034,0,0,9.987947,2.039134483653,0.146737056551534622,250.549466
136437741,13,0.000665247124034729,0,0,1.127387,2.039134483653,0.147402303675569351,249.422079
136502465,5,0.0002,0,0,0.336952,2.039134483653,0.147602303675569351,249.085127
136529732,6,0.005569598396937787,0,0,9.030984,2.039134483653,0.153171902072507138,240.054143
136529733,10,0,7.059978,0.004363322090150383,0,2.039134483653,0.148808579982356755,247.114121
136531566,5,0,1,0.000597966562903118,0,2.039134483653,0.148210613419453637,248.114121
136532159,3,0,8,0.004616061908274713,0,2.039134483653,0.143594551511178924,256.114121
136532161,6,0.004195942530023423,0,0,7.250178,2.039134483653,0.147790494041202347,248.863943
136561203,7,0.000994,0,0,1.657656,2.039134483653,0.148784494041202347,247.206287
136561374,17,0,1.647714,0.000982197132016605,0,2.039134483653,0.147802296909185742,248.854001
136582218,5,0,2.750694,0.001611068940082513,0,2.039134483653,0.146191227969103229,251.604695
136619338,5,0.0001,0,0,0.171473,2.039134483653,0.146291227969103229,251.433222
136642660,3,0,1.733004,0.00099842663933277,0,2.039134483653,0.145292801329770459,253.166226
136643835,4,0.0005,0,0,0.865643,2.039134483653,0.145792801329770459,252.300583
136665238,4,0.001,0,0,1.713631,2.039134483653,0.146792801329770459,250.586952
136666239,5,0,1.71346,0.000993950544440286,0,2.039134483653,0.145798850785330173,252.300412
136675458,11,0.000691866560958335,0,0,1.188041,2.039134483653,0.146490717346288508,251.112371
136682654,5,0,0.1,0.000058138625509858,0,2.039134483653,0.14643257872077865,251.212371
136706847,38,0,0.1,0.000058092426839543,0,2.039134483653,0.146374486293939107,251.312371
136711814,7,0,0.1,0.000058046283241132,0,2.039134483653,0.146316440010697975,251.412371
136722825,66,0,0.01,0.000005802089428905,0,2.039134483653,0.14631063792126907,251.422371
136724512,6,0,0.18,0.000104358966614001,0,2.039134483653,0.146206278954655069,251.602371
136736458,10,0.00084335,0,0,1.43867,2.039134483653,0.147049628954655069,250.163701
136738101,5,0,2.351264,0.001365166103624215,0,2.039134483653,0.145684462851030854,252.514965
136761165,7,0.00068931,0,0,1.185604,2.039134483653,0.146373772851030854,251.329361
136765693,17,0,0.47995,0.00027815387852308,0,2.039134483653,0.146095618972507774,251.809311
136801547,9,0.001106485089422608,0,0,1.887158,2.039134483653,0.147202104061930382,249.922153
136801622,5,0,1.989397,0.001159025107126139,0,2.039134483653,0.146043078954804243,251.91155
136820383,29,0.0015,0,0,2.553459,2.039134483653,0.147543078954804243,249.358091
136826677,4,0.0002,0,0,0.336545,2.039134483653,0.147743078954804243,249.021546
136829637,4,0.001,0,0,1.669183,2.039134483653,0.148743078954804243,247.352363
136831400,4,0,1.690183,0.001006470266745591,0,2.039134483653,0.147736608688058652,249.042546
136862420,30,0.000250738911524001,0,0,0.420695,2.039134483653,0.147987347599582653,248.621851
136873710,8,0.001,0,0,1.663771,2.039134483653,0.148987347599582653,246.95808
136892524,4,0.000303166474727209,0,0,0.5,2.039134483653,0.149290514074309862,246.45808
136892809,4,0.000304400923267356,0,0,0.5,2.039134483653,0.149594914997577218,245.95808
136893030,5,0,1,0.000603940320857479,0,2.039134483653,0.148990974676719739,246.95808
136955099,12,0,0.000904,5.43749317737E-7,0,2.039134483653,0.148990430927402002,246.958984
136957578,6,0,2,0.001193345484339483,0,2.039134483653,0.147797085443062519,248.958984
136959190,10,0.001052585084947048,0,0,1.755259,2.039134483653,0.148849670528009567,247.203725
136960699,3,0,0.99998,0.000597903835197087,0,2.039134483653,0.14825176669281248,248.203705
136966330,5,0,0.412626,0.000245315017350977,0,2.039134483653,0.148006451675461503,248.616331
136968310,16,0.000166265057144689,0,0,0.278137,2.039134483653,0.148172716732606192,248.338194
136970946,6,0.0004,0,0,0.666596,2.039134483653,0.148572716732606192,247.671598
136992190,52,0,0.01,0.000005980541861815,0,2.039134483653,0.148566736190744377,247.681598
136993994,5,0.0000065,0,0,0.010803,2.039134483653,0.148573236190744377,247.670795
136994125,5,0.00000651,0,0,0.010819,2.039134483653,0.148579746190744377,247.659976
136994718,5,0.0000065,0,0,0.010801,2.039134483653,0.148586246190744377,247.649175
136994826,11,0.00000651,0,0,0.010817,2.039134483653,0.148592756190744377,247.638358
136995177,7,0.0000065,0,0,0.010799,2.039134483653,0.148599256190744377,247.627559
136995268,5,0.00000652,0,0,0.010831,2.039134483653,0.148605776190744377,247.616728
136995556,8,0.0000065,0,0,0.010797,2.039134483653,0.148612276190744377,247.605931
136995672,5,0.00000653,0,0,0.010846,2.039134483653,0.148618806190744377,247.595085
136995966,5,0.0000065,0,0,0.010795,2.039134483653,0.148625306190744377,247.58429
136996049,5,0.00000656,0,0,0.010894,2.039134483653,0.148631866190744377,247.573396
137006142,5,0,2.110824,0.001252792172691596,0,2.039134483653,0.147379074018052781,249.68422
137006199,4,0.00179771379348442,0,0,3,2.039134483653,0.149176787811537201,246.68422
137006636,4,0,1.966836,0.001176480021190713,0,2.039134483653,0.148000307790346488,248.651056
