blockNumber,amount0In,amount1In,amount0Out,amount1Out
18252588,250000000.0,0.0,0.0,1.488708815542256e17
18252602,2261173378.0,0.0,0.0,1.3463723023299597e18
18252604,0.0,1.1997e16,20029314.0,0.0
18252615,0.0,1.2012738622604565e17,200554336.0,0.0
18252630,0.0,2.95e16,49250223.0,0.0
18252630,0.0,1.1e16,18364445.0,0.0
18252632,96983962.0,0.0,0.0,5.774360473097248e16
18252633,0.0,3965000000000000.0,6619587.0,0.0
18252638,0.0,1.9701953224755658e17,328921200.0,0.0
18252642,0.0,2973750000000000.0,4964572.0,0.0
18252652,0.0,3.806581262812959e16,63549406.0,0.0
18252663,0.0,1.1895e16,19858185.0,0.0
18252674,0.0,7.1e16,118530831.0,0.0
18252707,249484856.0,0.0,0.0,1.485455104942579e17
18252710,0.0,2.733527345910655e16,45635364.0,0.0
18252714,99566366.0,0.0,0.0,5.928216391596071e16
18252715,49862253.0,0.0,0.0,2.9688003861098136e16
18252724,0.0,1.3049240011011075e17,217853156.0,0.0
18252731,0.0,5989973071077472.0,10000000.0,0.0
18252740,29999464.0,0.0,0.0,1.7861929736825872e16
18252740,215511510.0,0.0,0.0,1.283162302848981e17
18252756,161000000.0,0.0,0.0,9.585863181210715e16
18252757,0.0,1.2408940666679725e17,207166231.0,0.0
18252764,6568671.0,0.0,0.0,3910989573894821.0
18252765,0.0,1.586e16,26477930.0,0.0
18252767,200000000.0,0.0,0.0,1.1907944338007288e17
18252769,0.0,1.8228260548549508e16,30432059.0,0.0
18252781,0.0,6000000000000000.0,10016978.0,0.0
18252785,0.0,1.0270495459739363e17,171464455.0,0.0
18252795,0.0,1.1930160894897072e17,199169720.0,0.0
18252801,0.0,1.542e16,25742926.0,0.0
18252804,272000000.0,0.0,0.0,1.619503544380925e17
18252805,0.0,1.1e17,183641723.0,0.0
18252815,37162824.0,0.0,0.0,2.2127003766287176e16
18252817,0.0,2.390604754294958e17,399097160.0,0.0
18252818,56594724.0,0.0,0.0,3.36977328195053e16
18252819,49105042.0,0.0,0.0,2.9238103741594516e16
18252827,0.0,1.51e16,25208355.0,0.0
18252827,200000000.0,0.0,0.0,1.1908308355174651e17
18252832,200000000.0,0.0,0.0,1.1908140237021037e17
18252833,0.0,1.5e16,25042075.0,0.0
18252835,55000000.0,0.0,0.0,3.27471487333859e16
18252838,0.0,991500000000000.0,1655286.0,0.0
18252841,50200000.0,0.0,0.0,2.9889108271134084e16
18252851,125000000.0,0.0,0.0,7.442461048276595e16
18252853,0.0,1.297107613920224e17,216550086.0,0.0
18252854,34181674.0,0.0,0.0,2.0351859778248276e16
18252856,0.0,1.4841406778699167e18,2477519615.0,0.0
18252862,0.0,3.072875e16,51291805.0,0.0
18252863,0.0,3.168884553152471e16,52894182.0,0.0
18252868,199173649.0,0.0,0.0,1.1860922483663902e17
18252870,500000000.0,0.0,0.0,2.9774596245579405e17
18252873,659176671.0,0.0,0.0,3.9251832780529286e17
18252875,24498016.0,0.0,0.0,1.4587421451999192e16
18252879,48726980.0,0.0,0.0,2.901456008401975e16
18252884,96391442.0,0.0,0.0,5.739614824212123e16
18252887,11510000.0,0.0,0.0,6853587140268078.0
18252890,0.0,7e16,116854145.0,0.0
18252903,1501097392.0,0.0,0.0,8.937826657077329e17
18252905,0.0,2973750000000000.0,4964719.0,0.0
18252905,0.0,2.623424178816983e16,43798374.0,0.0
18252907,0.0,6718704135759348.0,11216933.0,0.0
18252915,0.0,6.583610543990998e16,109913466.0,0.0
18252916,25000000.0,0.0,0.0,1.488486373594284e16
18252923,0.0,1.8880778579855696e16,31521382.0,0.0
18252924,148649869.0,0.0,0.0,8.850497744706109e16
18252925,300000000.0,0.0,0.0,1.7861484304105306e17
18252945,0.0,7800000000000000.0,13022460.0,0.0
18252948,0.0,8999999999999999.0,15025900.0,0.0
18252950,54250000.0,0.0,0.0,3.229917733774268e16
18252959,0.0,1.9825e16,33098790.0,0.0
18252963,0.0,1.9825e16,33098712.0,0.0
18252964,0.0,1.856266261846156e17,309908087.0,0.0
18252969,0.0,1.5056070823935688e16,25136171.0,0.0
18252974,0.0,6.239519826061776e16,104168560.0,0.0
18252978,0.0,4.043259108242983e17,675002065.0,0.0
18252990,0.0,9919421948595576.0,16559577.0,0.0
18252996,0.0,6.301429925370829e17,1051926965.0,0.0
18253006,0.0,900000000000000.0,1502355.0,0.0
18253012,0.0,6.992043320287653e17,1167122457.0,0.0
18253012,0.0,1.7247904191191504e16,28789242.0,0.0
18253014,43647930.0,0.0,0.0,2.599320563615102e16
18253014,5749841311.0,0.0,0.0,3.423445178660562e18
18253031,46493540.0,0.0,0.0,2.767649921351629e16
18253033,0.0,5000000000000000.0,8349151.0,0.0
18253037,35000000.0,0.0,0.0,2.0834620434808416e16
18253044,0.0,1.994051548249331e16,33297311.0,0.0
18253050,0.0,1.6042226093523492e16,26787766.0,0.0
18253065,0.0,5.238142290785089e17,874652061.0,0.0
18253067,874688954.0,0.0,0.0,5.206981162340597e17
18253071,0.0,2e17,333961380.0,0.0
18253083,2500000000.0,0.0,0.0,1.4880960270715116e18
18253095,87340000.0,0.0,0.0,5.198336956819317e16
18253099,500000000.0,0.0,0.0,2.975858330823716e17
18253109,80000000.0,0.0,0.0,4.761275774868622e16
