blockNumber,amount0In,amount1In,amount0Out,amount1Out
18254792,12860115.0,0.0,0.0,7641721959667601.0
18254800,3200000000.0,0.0,0.0,1.9005515457761454e18
18254881,9253500.0,0.0,0.0,5493113788460286.0
18254893,597000000.0,0.0,0.0,3.5436108000766874e17
18254899,4254762489.0,0.0,0.0,2.5235961006642324e18
18254911,362000000.0,0.0,0.0,2.145561951747114e17
18254945,0.0,1000000000000000.0,1677189.0,0.0
18254984,8216358723.0,0.0,0.0,4.86333256651016e18
18254995,3000000.0,0.0,0.0,1773459036375159.0
18255058,0.0,1.5e16,25222037.0,0.0
18255095,3283926.0,0.0,0.0,1941316095367226.0
18255118,0.0,2.3424685359859424e16,39387530.0,0.0
18255250,0.0,3.074762077511017e17,516962383.0,0.0
18255303,3000000.0,0.0,0.0,1773776678419111.0
18255338,0.0,4000000000000000.0,6724691.0,0.0
18255347,200000000.0,0.0,0.0,1.1824830630902654e17
18255358,50000000.0,0.0,0.0,2.956092865446888e16
18255374,238867304.0,0.0,0.0,1.4121646241162646e17
18255402,203436394.0,0.0,0.0,1.202617328582469e17
18255464,178425000.0,0.0,0.0,1.0546995896448162e17
18255494,484506181.0,0.0,0.0,2.8637015280811533e17
18255526,18006582.0,0.0,0.0,1.0642062440996786e16
18255530,0.0,4e17,672684785.0,0.0
18255538,147000000.0,0.0,0.0,8.68943784995328e16
18255538,10000000.0,0.0,0.0,5911038016458478.0
18255543,7200000.0,0.0,0.0,4255936010345596.0
18255546,0.0,8.880547752186e16,149333720.0,0.0
18255565,34098934.0,0.0,0.0,2.015676361422839e16
18255565,0.0,2.66383313749215e16,44793666.0,0.0
18255602,3965000.0,0.0,0.0,2343833079597921.0
18255602,7790000.0,0.0,0.0,4604899470854659.0
18255608,5496102.0,0.0,0.0,3248901797184607.0
18255725,1830520169.0,0.0,0.0,1.0817646634269656e18
18255908,327641230.0,0.0,0.0,1.9355805647508234e17
18255928,0.0,1.01086693560608e18,1700509107.0,0.0
18255941,49000000.0,0.0,0.0,2.896097783462483e16
18255944,0.0,1.809066870388926e17,304235977.0,0.0
18255955,17089530.0,0.0,0.0,1.0101454910724938e16
18255958,10693674.0,0.0,0.0,6320899398341630.0
18255991,124897500.0,0.0,0.0,7.382382745084349e16
18256013,13145165.0,0.0,0.0,7769615738870309.0
18256020,17274175.0,0.0,0.0,1.0210071049074424e16
18256031,9000000.0,0.0,0.0,5319516830570187.0
18256039,200000000.0,0.0,0.0,1.1820765701892326e17
18256082,28673609.0,0.0,0.0,1.6946598720504748e16
18256083,9376793.0,0.0,0.0,5541814056288308.0
18256107,161153416.0,0.0,0.0,9.52413760374947e16
18256108,48427066.0,0.0,0.0,2.8619376618679856e16
18256115,5734442.0,0.0,0.0,3388906000441577.0
18256203,313359637.0,0.0,0.0,1.8517823667716278e17
18256260,0.0,5e16,84106372.0,0.0
18256273,2110000000.0,0.0,0.0,1.2464579527825492e18
18256273,0.0,5.899420397781382e17,992841368.0,0.0
18256309,0.0,582000000000000.0,979323.0,0.0
18256313,0.0,2.2e16,37018889.0,0.0
18256331,0.0,3.3e17,555232243.0,0.0
18256345,0.0,2.265895195668955e18,3809828302.0,0.0
