blockNumber,logIndex,baseIn,quoteIn,baseOut,quoteOut,totalSupply,baseReserve,quoteReserve
136273988,6,0.0001,0,0,0.167065642105782096,708.04941626191074641,23.928368499354838544,40096.204025318706990096
136281592,123,0,0.341964346084551108,0.000203461444058655,0,708.04941626191074641,23.928165037910779889,40096.545989664791541204
136285728,125,0,1.431191319274853362,0.000851490543874571,0,708.04941626191074641,23.927313547366905318,40097.977180984066394566
136289161,111,0,0.336972965867864575,0.000200474000220374,0,708.04941626191074641,23.927113073366684944,40098.314153949934259141
136302497,112,0,0.989339780252704834,0.000588564597045364,0,708.04941626191074641,23.92652450876963958,40099.303493730186963975
136303544,4,0.000069848,0,0,0.116709196670290379,708.04941626191074641,23.92659435676963958,40099.186784533516673596
136304010,125,0,0.198522076977071471,0.000118099251876285,0,708.04941626191074641,23.926476257517763295,40099.385306610493745067
136307639,16,0.0000044,0,0,0.007352020803979578,708.04941626191074641,23.926480657517763295,40099.377954589689765489
136323713,148,0,4.862250582228274834,0.00289215246238023,0,708.04941626191074641,23.923588505055383065,40104.240205171918040323
136325719,3,0,17.988951976629138458,0.01069406635699331,0,708.04941626191074641,23.912894438698389755,40122.229157148547178781
136331178,4,0.00013,0,0,0.217464847209112294,708.04941626191074641,23.913024438698389755,40122.011692301338066487
136333553,3,0,89.341295601708034322,0.052970749863113169,0,708.04941626191074641,23.860053688835276586,40211.352987903046100809
136334335,7,0.02,0,0,33.576825397305808665,708.04941626191074641,23.880053688835276586,40177.776162505740292144
136336675,118,0,0.810928026140917659,0.000480527374273678,0,708.04941626191074641,23.879573161461002908,40178.587090531881209803
136337093,17,0.0024975,0,0,4.189126479024385456,708.04941626191074641,23.882070661461002908,40174.397964052856824347
136337242,24,0.023873717981560172,0,0,40,708.04941626191074641,23.90594437944256308,40134.397964052856824347
136338292,4,0.000656,0,0,1.097988936672044919,708.04941626191074641,23.90660037944256308,40133.299975116184779428
136344390,4,0.0033,0,0,5.522508367893126777,708.04941626191074641,23.90990037944256308,40127.777466748291652651
136347211,5,0.000049,0,0,0.081989396695293192,708.04941626191074641,23.90994937944256308,40127.695477351596359459
136348350,6,0.00999,0,0,16.708802861415198139,708.04941626191074641,23.91993937944256308,40110.98667449018116132
136348405,55,0.008043049228800904,0,0,13.442300111488758014,708.04941626191074641,23.927982428671363984,40097.544374378692403306
136349727,7,0.002373475849087112,0,0,3.965050504563401846,708.04941626191074641,23.930355904520451096,40093.57932387412900146
136351480,6,0.002892221108651807,0,0,4.830587944399000366,708.04941626191074641,23.933248125629102903,40088.748735929730001094
136351599,27,0,2.169408920435308954,0.001291196354974058,0,708.04941626191074641,23.931956929274128845,40090.918144850165310048
136354487,111,0,0.382484535714896184,0.000227633993970452,0,708.04941626191074641,23.931729295280158393,40091.300629385880206232
136366265,19,0.0062,0,0,10.352631419061536767,708.073665304593615224,23.938176177957458108,40081.361584779275328601
136367920,4,0.007,0,0,11.682021704235018502,708.073665304593615224,23.945176177957458108,40069.679563075040310099
136368410,13,0,7.519679389780267426,0.004479354148739521,0,708.073665304593615224,23.940696823808718587,40077.199242464820577525
136376298,9,0,24.778957316879232556,0.014748572293255388,0,708.073665304593615224,23.925948251515463199,40101.978199781699810081
136384548,126,0,2.324288972173953143,0.001382494929871764,0,708.073665304593615224,23.924565756585591435,40104.302488753873763224
136387438,44,0,3.997888224116,0.002377583295873089,0,708.073665304593615224,23.922188173289718346,40108.300376977989763224
136387748,163,0,1.311822086688685892,0.000780050247252513,0,708.073665304593615224,23.921408123042465833,40109.612199064678449116
136395344,3,0,30.02733555131589419,0.017841287953926053,0,708.073665304593615224,23.90356683508853978,40139.639534615994343306
136395871,11,0,2.041930931441851889,0.001212281345584099,0,708.073665304593615224,23.902354553742955681,40141.681465547436195195
136397766,5,0.0002,0,0,0.334870127255868184,708.073665304593615224,23.902554553742955681,40141.346595420180327011
136397912,4,0,0.33437284511689322,0.000198506591729601,0,708.073665304593615224,23.90235604715122608,40141.680968265297220231
136402313,103,0,28.674729213116342493,0.017011023625272894,0,708.073665304593615224,23.885345023525953186,40170.355697478413562724
136406299,17,0.000830307604922343,0,0,1.392173237421741172,708.073665304593615224,23.886175331130875529,40168.963524240991821552
136406460,129,0,0.210518901889883331,0.000124807296268876,0,708.073665304593615224,23.886050523834606653,40169.174043142881704883
136406581,3,0,13.12400083098642121,0.007778062150125622,0,708.073665304593615224,23.878272461684481031,40182.298043973868126093
136407281,46,0.008991,0,0,15.078981813524366701,708.073665304593615224,23.887263461684481031,40167.219062160343759392
136407452,147,0,48.165430627578677359,0.028523731556816902,0,708.073665304593615224,23.858739730127664129,40215.384492787922436751
136408008,8,0.012987,0,0,21.812884444895761971,708.073665304593615224,23.871726730127664129,40193.57160834302667478
136416503,123,0,1.094142756737972327,0.000647865115976935,0,708.073665304593615224,23.871078865011687194,40194.665751099764647107
136424913,111,0,0.862895766936292969,0.000510914028501128,0,708.073665304593615224,23.870567950983186066,40195.528646866700940076
136428380,10,0,16.5,0.009765318355593709,0,708.073665304593615224,23.860802632627592357,40212.028646866700940076
136433378,125,0,0.499655159881142357,0.000295589647799257,0,708.073665304593615224,23.8605070429797931,40212.528302026582082433
136433976,7,0,12.166729167451932654,0.007195422523871504,0,708.073665304593615224,23.853311620455921596,40224.695031194034015087
136433986,52,0,15.920003792339029052,0.009408554666638099,0,708.073665304593615224,23.843903065789283497,40240.615034986373044139
136435933,118,0,0.972253910302506213,0.000574350671555916,0,708.073665304593615224,23.843328715117727581,40241.587288896675550352
