blockNumber,logIndex,quoteAmount,baseAmount,price,liquidity
136577450,35,0.04666327,-0.746451721292792359,0.06201241174163836054326601234,92.6927607222177
136697369,11,-0.00785553,0.128,0.0619702104693981706282391952,92.6927607222177
136698445,57,-0.01258956,0.205319163157266742,0.06190260718301938345165606363,92.6927607222177
136699623,88,-0.00291959,0.047646800410325351,0.06188693483555597640733051755,92.6927607222177
136700670,20,-0.00741475,0.12106051289860894,0.06184714145439020295335617345,92.6927607222177
136702020,67,-0.01371659,0.224155754920351354,0.06177356125020795256006702116,92.6927607222177
136702126,133,-0.01057071,0.172928140657227247,0.0617168864442388943095610621,92.6927607222177
136703606,91,-0.00232409,0.038041551797789494,0.06170442931818070708433845589,92.6927607222177
136779964,7,-0.00897485,0.146959933154609278,0.06166949614372557321099990225,127.6192367059974
136781208,11,-0.01078473,0.17670624,0.06162753137650198025232150431,127.6192367059974
136782582,4,-0.00853927,0.14,0.06159431412968969749945333807,127.6192367059974
136784139,7,-0.00871058,0.142886366241380944,0.06156043973089165620045038901,127.6192367059974
136784754,67,-0.0051539,0.084580503064840265,0.06154040120175989796408527895,127.6192367059974
136785813,7,-0.01558911,0.256,0.06147981012692746674462948293,127.6192367059974
136785911,19,-0.01824897,0.3,0.06140891876880663970067330486,127.6192367059974
136789328,8,-0.01600449,0.263387456696214232,0.06134678015393763185161865781,127.6192367059974
136790257,15,-0.03007192,0.495618636440301611,0.0612301087324204595773107135,127.6188875260014
136793269,28,-0.01287236,0.21243942402170294,0.06118020106090299818993004204,127.6188875260014
136793507,7,-0.00835673,0.13800842285156251,0.061147811899922909063683046,127.6188875260014
136810472,38,-0.00551466,0.091112737739678974,0.06112645958188801223876888183,127.7194034461181
136810919,10,-0.01119055,0.18498691652478968,0.06108314219120622422990184127,127.7194034461181
136811977,36,-0.00778089,0.128700366598823235,0.06105303227462456488175366733,127.7194034461181
136812323,8,-0.0108759,0.18,0.0610109579520345567628973629,127.7194034461181
136814751,45,-0.00351566,0.058212075771412111,0.06099736040530732953610272684,127.7194034461181
136814891,236,-0.00259441,0.042966346782551355,0.06098732696851352635771522862,127.7194034461181
136815095,11,-0.00772642,0.128,0.06095745126910808308828348778,127.7194034461181
136815804,126,-0.00063259,0.010482702538489693,0.06095500553802786162164563562,127.7194034461181
136824261,10,-0.00836918,0.13872481009299527,0.06092265335503860356542518982,127.7194034461181
136832997,14,-0.00503175,0.083440019763346446,0.06090320660932565461566917959,127.7194034461181
136842228,18,-0.01295166,0.214896272163577345,0.06085316518085062619481874691,127.7194034461181
136853287,14,-0.01237991,0.205574887767496795,0.06080535205757583501802423364,127.7194034461181
136853599,228,-0.06008245,1,0.0605735713697030726272469572,127.7194034461181
136853610,71,-0.12911846,2.162009296114548735,0.06007696741670259320445549588,127.7194034461181
136853634,112,-0.02425012,0.408048341274261484,0.0599816585188134523135183763,122.1000581261031
136934649,45,0.00648872,-0.107073570590909119,0.06000743146361959027069916544,122.1000581261031
137550070,3,-0.00890844,0.15,0.05997169150169527434567652361,122.1000581261031
137579811,81,-0.00855935,0.144206210828816645,0.05993736210018036981224175381,122.1000581261031
137670142,5,-0.000089,0.0015,0.05993700516851615697501665086,122.1000581261031
137670189,3,-0.01156636,0.195,0.05989063118685314881760123765,122.1000581261031
137670237,14,-0.01115565,0.188218797670414803,0.05984592090524535007123695025,122.1000581261031
137677670,7,-0.00447517,0.075544910088382816,0.05982798973008552299966693398,122.1000581261031
137717665,4,-0.00071073,0.012,0.05982514217799092438286442978,122.1000581261031
137727217,8,-0.00073965,0.012488868341679356,0.0598221788352735539590830356,122.1000581261031
137730784,6,-0.0059153,0.0999,0.0597984826136536025950201607,122.1000581261031
137733580,17,-0.00519702,0.087802085959358896,0.05977766763343761355085455266,122.1000581261031
137734993,9,-0.00566895,0.095810099628858268,0.05975496661487150821389841995,122.1000581261031
137736311,11,-0.0100041,0.16916668,0.05971491622221027037691590471,122.1000581261031
137736779,4,-0.00000289,0.000049,0.0597149046272416573279590129,122.1000581261031
137740804,9,-0.01112502,0.188254414059945489,0.05967038252436044863120900713,122.1000581261031
137744099,43,-0.0028648,0.048500151189545738,0.05965892032201131156081296601,122.1000581261031
137749926,8,-0.00758387,0.128437335226616169,0.05962858224746111922347154579,122.1000581261031
137754380,3,-0.00000324,0.000055,0.05962856926091496349158340974,122.1000581261031
137755639,7,-0.00755421,0.128,0.05959835751645004089442059943,122.1000581261031
137757115,52,-0.01220318,0.206910061382704408,0.05954956922329852569448834918,122.1000581261031
137758216,9,-0.00056005,0.0095,0.05954733061238697755053896977,122.1000581261031
137758846,29,-0.01508403,0.256,0.05948705344082938319357158889,122.1000581261031
137760016,38,-0.01506877,0.256,0.05942686774690710300852801429,122.1000581261031
137761208,3,-0.01001956,0.170363622075040582,0.05938686580037490087863303284,122.1000581261031
137762389,24,-0.01285574,0.218755672625888516,0.05933556043980811440496963791,122.1000581261031
137765634,46,-0.0025401,0.043245270481561206,0.05932542588040206750977503751,122.1000581261031
137766226,51,-0.00539709,0.091910040088002545,0.05930389531966154320970502558,122.1000581261031
137784889,119,-0.00500138,0.085200970634586686,0.05928394687175520398714607491,122.1000581261031
137785048,28,-0.01161111,0.197911616801029714,0.05923764785150512739574119058,122.1000581261031
137786929,43,-0.00703576,0.12,0.05920960171601884330727037868,122.1000581261031
138400819,3,-0.00233701,0.03987198750871235,0.05920030265543335248087750666,122.3012928486258
138477896,4,-0.0052245,0.089158466691474665,0.05917951678378081445489875006,122.3012928486258
138494998,13,-0.00161887,0.027633138245497348,0.05917307678141508364041131366,122.3012928486258
138513506,15,-0.01498926,0.256,0.05911346500722935853953789985,122.3012928486258
138523067,6,-0.00366196,0.062581459850766281,0.05909890608496603343704239368,122.3012928486258
138526128,5,-0.00170162,0.02908531080432244,0.05909214152221155320892289109,122.3012928486258
138528736,7,-0.00584897,0.1,0.05906889272102024090770363148,122.3012928486258
138539500,15,-0.00093566,0.016000665791111467,0.05906517403137258507410179107,122.3012928486258
138542291,19,-0.00836956,0.14317206173589545,0.05903191526036303523376593344,122.3012928486258
138597190,9,-0.0001927,0.003297397196185191,0.05903114960823701475212769959,122.3012928486258
138598494,8,-0.00152621,0.026116837070417031,0.05902508583260595424316362592,122.3012928486258
138606760,3,-0.00046575,0.007970584298183974,0.05902323541807103611011517992,122.3012928486258
138607717,7,-0.01495132,0.256,0.05896384987201125309112136614,122.3012928486258
138608995,44,-0.00745696,0.127776240320010911,0.05893424253110102180560299473,122.3012928486258
138609425,30,-0.00587828,0.10077064065625734,0.05891090844836214305464796667,122.3012928486258
138691559,24,-0.00874277,0.14995,0.0588762120139294881435444687,122.3005762826254
138696833,8,-0.00201583,0.034586729562119238,0.05886821345548398895191668573,122.3005762826254
138705615,11,-0.00873939,0.15,0.05883101788173713254491745102,88.3782854509217
138711018,5,-0.00064065,0.011,0.05882750144848793864497962167,88.3782854509217
138711483,3,-0.00064061,0.011,0.05882398533050440825315206948,88.3782854509217
138711547,15,-0.0090047,0.15469,0.05877457249114641127027312663,88.3782854509217
138722897,31,-0.00332172,0.057096029274346454,0.0587563787949702241077032942,88.5183959978861
138989265,204,-0.00719519,0.123736533392198087,0.05871697902836164403011866139,88.5183959978861
138989274,90,-0.01728417,0.297577358859173888,0.05862238755745511421772896529,88.5183959978861
138989496,70,-0.01576231,0.271794561818834703,0.05853619129802244706054380511,88.5183959978861
138990763,21,-0.00739731,0.127692240982151744,0.05849576091907531555795770485,88.5183959978861
138991285,3,-0.00321843,0.055584096959950112,0.05847817476544301698262203692,88.5183959978861
138991386,14,-0.0096749,0.167191463449493568,0.05842532513254486637569999144,88.5183959978861
139075167,19,-0.03603362,0.624027446403187774,0.0582286999340276161251754912,88.5183959978861
139075174,81,-0.02244721,0.389804536495716128,0.05810637942329876547175506335,88.5183959978861
139081440,26,-0.0091482,0.15909735252936877,0.05805656547287504146402933034,88.5183959978861
139081502,51,-0.01459472,0.254101093332254309,0.05797713826425782319244052895,88.5183959978861
139081687,32,-0.01002126,0.174676555637062808,0.05792263216730868136330439656,88.5183959978861
139081715,31,-0.00901667,0.157306513984781008,0.05787361197290549437228806845,88.5183959978861
139084154,68,-0.00800445,0.139758828852,0.05783011221075565908108920847,88.5183959978861
139084424,3,-0.01293891,0.226137496658365999,0.05775983100292564097601358383,88.5183959978861
139084948,37,-0.01050261,0.183759995192149305,0.05770281459904461186727295549,88.5183959978861
139084998,46,-0.00457696,0.080138052218778926,0.05767797420645011447719060807,88.4022238271463
139085083,88,-0.01177075,0.206252789864086896,0.05761403671747648249657933099,88.4022238271463
139085101,54,-0.00229866,0.040305082222880125,0.05760155473135835441167561705,88.4022238271463
139085160,3,-0.0099287,0.17419123944474723,0.05754765647602500032091445389,88.4022238271463
139373499,11,-0.02222815,0.390567514945088968,0.05742708169818358773166290126,88.4022238271463
139705740,177,0.01283113,-0.221066390505227141,0.05749597153693948648944096059,88.4022238271463
139708335,13,0.00703556,-0.121102607444557254,0.05753376271683099798382433659,88.4022238271463
139711533,386,0.01327185,-0.228231091496731175,0.05760508567328988119411708809,88.4022238271463
139716054,42,0.02378456,-0.408307586162639961,0.05773294400114570138650334153,88.5183959978861
139718439,61,0.00996552,-0.1708086411813337,0.05778651675548299772375789788,88.5183959978861
139736973,16,0.00812,-0.139059501453961558,0.05783018673311467411363021332,88.5183959978861
139771599,14,0.00592123,-0.101338011907042797,0.05786204191628257102551774739,88.5183959978861
139777888,5,0.00734876,-0.125691779477336307,0.05790158918733988114530092779,88.5183959978861
139786651,6,0.00029226,-0.004996858876809899,0.05790316222137180935147847085,88.5183959978861
139789829,7,0.00003545,-0.000605983514407883,0.05790335299211248048944008136,88.5183959978861
139795154,15,0.00918051,-0.156896329698878815,0.05795277754286613779736149853,88.5183959978861
140031063,5,-0.00586222,0.102204781712186507,0.05792117500178949357580345483,89.2993132648238
140031807,13,-0.00302289,0.052724326137380463,0.05790488232207319222957684459,89.2993132648238
140996367,91,-0.01576723,0.275248071811952831,0.05781984206403503790389021892,89.1987973447071
140996375,91,-0.01401132,0.244934949822047498,0.05774432473348559130016270012,89.1987973447071
140996395,145,-0.02143968,0.375412493748982528,0.05762880008296814705708382231,89.0826251739673
140998260,14,-0.00454621,0.079701733895337329,0.05760430038006063805778904979,89.0826251739673
141000669,3,-0.00331791,0.058189298404563896,0.05758642330085048760452614927,89.0826251739673
141000729,16,-0.00729486,0.128,0.0575471280577924811199655518,89.0826251739673
141000864,16,-0.00728988,0.128,0.05750787302185381019398099485,89.0826251739673
141001453,4,-0.01143517,0.200961477123758208,0.05744632314762360038850977985,89.0826251739673
141009030,18,-0.00909562,0.16,0.05739738945846116920661801642,89.0826251739673
141011878,33,-0.00899473,0.1583595308962108,0.05734901902267614637719730017,89.0826251739673
141021708,7,-0.00726479,0.128,0.05730996648406614207105173686,89.0826251739673
141023238,3,-0.01972616,0.348,0.05720399381980502043320976604,89.0826251739673
141107726,64,-0.02395019,0.423385492865297779,0.05707546069742444324902050344,89.0826251739673
