project,version,block_minute,block_time,token_pair,project_contract_address,token_bought_amount,token_sold_amount,amount_usd,tx_hash,gas_price
camelot,1,2023-10-31 08:59:00.000 UTC,2023-10-31 08:59:48.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,7.201115,0.004,7.20340495457,0xfc683c5abe888652fbcd7555e3d135bcfe7238b13b07b30c1269adfe7e248f67,1e+08
camelot,1,2023-10-31 09:00:00.000 UTC,2023-10-31 09:00:36.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,3.600506,0.002,3.601362920428,0xe4244fd884af4b8b10f02d42ec7d81c12eeee4f7d096466b40a3235046bc67e2,1e+08
camelot,1,2023-10-31 09:04:00.000 UTC,2023-10-31 09:04:04.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,2.007267,0.001115,2.0077447295460003,0x2a952ea56e5d58540959b4a710834f32db49af509ab5294f6369f76e8a8b4c38,1e+08
camelot,1,2023-10-31 09:04:00.000 UTC,2023-10-31 09:04:56.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,7.200872,0.004,7.202585807536,0x16e207bcdae721ce1dd9b17805c77949f1ee91c730376bcb1d5cda51a6f184c7,1e+08
camelot,1,2023-10-31 09:07:00.000 UTC,2023-10-31 09:07:29.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,263.831833,0.14660772006271852,263.92206348688603,0x4bfd29a3fd801dc3fe21c6d5d87a5c35d73c2836463492fb250a0e5765bb2238,1e+08
camelot,1,2023-10-31 09:08:00.000 UTC,2023-10-31 09:08:05.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,3.597884,0.002,3.5991144763280003,0xd0e9bcdb0434dedb22c2bdb0fa3e0f1f97087039664f0f022581a745c346dc0c,1e+08
camelot,1,2023-10-31 09:10:00.000 UTC,2023-10-31 09:10:59.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,7.20133,0.004003148733520935,7.20418892801,0x0e78885fcd7ae50611d779390ee57f081f6db78e8a7d0a2205c5c42c1f5ba733,1e+08
camelot,1,2023-10-31 09:13:00.000 UTC,2023-10-31 09:13:31.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,2.158673,0.0012,2.1595299931809997,0x0ae43feec31cbf545d0050947f888c24361b969d1cb056eb38c5d699ca88a7b0,1e+08
camelot,1,2023-10-31 09:14:00.000 UTC,2023-10-31 09:14:00.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,3.597761,0.002,3.599189311117,0x4660f2363f34a3993ed5d34af07e8fa4c0ea7dd670d0572c66704be037f9eb27,1e+08
camelot,1,2023-10-31 09:14:00.000 UTC,2023-10-31 09:14:14.000 UTC,USDC.e-WETH,0x84652bb2539513baf36e225c930fdd8eaa63ce27,1.995891,0.001109526778960812,1.996683368727,0x7ece4bf88cbb8c344031dfec3c7901b8a37656495c07e966965703461b5807b4,1e+08
