project,version,block_minute,block_time,token_pair,project_contract_address,token_bought_amount,token_sold_amount,amount_usd,tx_hash,gas_price
sushiswap,1,2023-10-19 09:46:00.000 UTC,2023-10-19 09:46:47.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.1934317581428798,300,299.73798378304366,0xebe1900508dbff7abfa797c0716c99669545e85ca3fd3f4497096f82df682ba5,6.812870794e+09
sushiswap,1,2023-10-19 09:47:00.000 UTC,2023-10-19 09:47:59.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.003051555627804056,4.732997,4.728629569732609,0xd6bf679589d0647a90db90c023fdd083e1f0a4e558b23b6b080d4653505b2549,6.411584063e+09
sushiswap,1,2023-10-19 09:51:00.000 UTC,2023-10-19 09:51:23.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.003481593872579386,5.4,5.395112680887742,0xded3651fb257874e1f1b80c6556fd39ff8c03b4193f2b287d073e36b0f08b809,6.124844733e+09
sushiswap,1,2023-10-19 09:56:00.000 UTC,2023-10-19 09:56:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.013576460389807771,21.057367,21.02219856139005,0xb353b9758e1260f715290236f5721f4712496f9aff2d1dbd0f33adf49825a113,6.402244891e+09
sushiswap,1,2023-10-22 15:25:00.000 UTC,2023-10-22 15:25:23.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,4939.188289,3.0462926313324616,4938.926512020683,0x7c76f115cddca9a55e40c9fc6bf5de15be9e59819bcffcd26aeb761e9458cef3,1.0972395914e+10
sushiswap,1,2023-10-19 09:58:00.000 UTC,2023-10-19 09:58:35.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.003629004919681063,5.628685,5.619260087781749,0xfd4f5ff5592e77fb5491e01b96f6bedc3c143685ff18c675a6efe9b90e4ff943,6.031306462e+09
sushiswap,1,2023-10-19 10:01:00.000 UTC,2023-10-19 10:01:23.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.1964453162454089,304.7073,304.2800436920012,0xf2ad260418f017cbb4e8e57ef78dadff5d7b1469edd166d4a622664cd59bd69f,8.307367508e+09
sushiswap,1,2023-10-22 15:39:00.000 UTC,2023-10-22 15:39:11.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.3662519779820557,597,595.5733289559603,0xfae91d8b8888bba571f960ac740a8ef5138791df11cbb62707d0708fd99df6c6,1.8843251382e+10
sushiswap,1,2023-10-22 15:39:00.000 UTC,2023-10-22 15:39:47.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.14648144278895794,238.8,238.1978685624082,0xee624cb858437f013e62b68dd7b73aba62b0f43c7c0890296d4817dab9ee869b,1.9435033408e+10
sushiswap,1,2023-10-22 15:43:00.000 UTC,2023-10-22 15:43:23.000 UTC,USDC-WETH,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0.02344889154053984,38.22901,38.13540129021075,0x906d284749281feb4b99494e20e57a28e87fe600751ea5ce0011292e5730b423,2.0484778923e+10
